id,user_id,title,description,sti_type,is_public,publication_date
1,18,Gatto,Non dire gatto se non l'hai nel sacco,Video,t,2013-03-18 14:01:36.851006
2,1,Pizza Berlusconi,Pizza Berlusconi on tuotenimi Kotipizza-ketjun savuporopizzalle. Kotipizza on savuporopizzallaan voittanut maaliskuussa 2008 America's Plate International -pizzakilpailun New Yorkissa päihittäen muun muassa toiseksi kilpailussa tulleet italialaiset.,Video,f,
3,18,Kotipizza är Finlands största kedja,"Kedjan gjorde ett försök med en Sverigelansering under 1990-talet då tre pizzarestauranger öppnades i Umeå, grannstad med Rabbe Grönbloms hemstad Vasa. Enligt Kotipizza gick lanseringen enligt förväntan men restaurangerna lades ner efter ett par år.",Video,t,2013-03-18 14:01:35.851006
4,1,歷史,中華人民共和國建立無耐，中國大陸因連年戰爭已經接近一個廢墟。1950年代初期，共產黨通過「鎮壓反革命」嘅運動，對私有經濟同財產進行城市工商業「社會主義改造」同農村「土改」同土地集體化，抑止戰時通貨膨脹、並喺蘇聯援助下建立一個初步完整嘅工業體系，普及國民教育同建立醫療保障體系。「一邊倒」）嘅政策，援助各社會主義國家同新興獨立國家共產主義活動。軍事上，1950年基本消滅國民黨喺大陸嘅殘餘勢力；,Video,t,2013-03-18 14:01:34.851006
5,18,لكن أسرة,والحزب القومي الصيني. شهد النصف الأول من القرن العشرين سقوط البلاد في فترة من التفكك والحروب الأهلية التيلشيوعيون. انتهت أعمال العنف الكبرى في عام 1949 عندما حسم الشيوعيون الحرب الأهلية وأسسوا جمهورية الصين الشعبية في بر الصين الرئيسي. نقل حزب الكومينتانغ عاصمة جم,Video,t,2013-03-18 14:01:33.851006
6,1,William Bligh,"Bligh was born in Tinten Manor in St Tudy near Bodmin, Cornwall, to Francis Bligh and his wife Jane. Francis was Jane's second husband; she was the widow of a man whose surname was Pearce and her maiden name was Balsam.",Video,t,2013-03-18 14:01:32.851006
7,18,Tokelauan determination referendum,"Despite the majority 60% who voted in favour of the proposal, the referendum failed to get the two-thirds majority required for the referendum to succeed.",Video,t,2013-03-18 14:01:31.851006
8,1,History of Samoa,"Robert Louis Stevenson arrived in Samoa in 1889 and built a house at Vailima. He quickly became passionately interested, and involved, in the attendant political machinations.",Video,t,2013-03-18 14:01:30.851006
9,18,Приднестровская Молдавя Республика,"С древних времён данная территория была населена тирагетами (фракийское племя)[10]. В раннем средневековье на территории современного Приднестровья жили славянские племена уличи и тиверцы, а также кочевники-тюрки — печенеги и половцы.",Video,t,2013-03-18 14:01:29.851006
10,1,Calendario 2012,"Su questo sito ogni calendario online, annuale o mensile, sta, tra l’altro, per 2012, 2013 e 2014. Questo può essere molto utile quando si cerca una data (per esempio, quando si hanno le vacanze) ",Video,t,2013-03-18 14:01:28.851006
11,18,"De Rossi-Zeman, è gelo","Scarso impegno? Il romanista è infuriato, tre mesi per trovare la pace o sarà addio.",Video,t,2013-03-18 14:01:27.851006
12,1,Balotelli imita Eto'o,Balotelli BalotelliBalotelli Balotelli Balotelli Balotelli Balotelli Balotelli,Video,t,2013-03-18 14:01:26.851006
13,18,Paura per Osvaldo,Saranno Giovinco e Osvaldo a guidare l'Italia stasera contro l'Armenia.,Video,t,2013-03-18 14:01:25.851006
14,1,Allenamenti differenziati? Storie!,"Un Prandelli concentratissimo ha spiegato tutti gli aspetti di questa vigilia di Armenia-Italia. Prandelli, dopo le difficoltà di settembre, che Italia dovremo aspettarci?",Video,t,2013-03-18 14:01:24.851006
15,18,административно-территориальные еди,"Отличается значительным этнокультурным разнообразием. Бо́льшая часть верующих (около 75 % населения[11]) исповедует православие, что делает Россию страной с самым большим православным населением в м",Video,t,2013-03-18 14:01:23.851006
16,1,С начала XIV века среди,"(собственников земли) превратились в помещиков (держателей поместья — надела, за который они обязаны нести военную службу) и слились по своему статусу с сословием служилых люде",Video,t,2013-03-18 14:01:22.851006
17,18,южные и юго-восточные,"рактически всё мужское население Крыма, что значительно подорвало военно-политические силы Крымского ханства. Фактически сражение при Молодях стало последней великой битвой Руси с",Video,t,2013-03-18 14:01:21.851006
18,1,"модернизации арми, государственного","в результате Февральской революции монархия пала. Царя Николая II убедили отречься от престола в пользу своего брата Михаила, но тот не захотел принять бразды правления. В результате власть перешла к Временному",Video,t,2013-03-18 14:01:20.851006
19,18,История СССР#Образование СССР,Сталин провёл чистку партийного аппарата. В государстве продолжились массовые репрессии. Создана система исправительно-трудовых лагерей,Video,t,2013-03-18 14:01:19.851006
20,1,стратегическое насение и разгромили,передовых западных стран в технологическом плане. В области внешней политики Брежнев немало сделал для достижения политической разрядки в 1970-х годах. Были заключены американо-советские,Image,f,
21,18,независимость и вышли,"года консервативной частью руководства СССР была предпринята попытка спасения советского государственного строя. В историю эта попытка вошла под именем «Августовский путч», а инициативная",Image,f,
22,1,加拿大,喺15世紀尾，英國同法國開始喺度擴張殖民地。後尾喺1763年，法國打輸咗七年戰爭，就割讓咗差唔多,Image,f,
23,18,國會架構,皇室代表係總督。實質上，君主係唔會單方面行使權力，而係會聽總理嘅建議。加拿大國會眾議院係加拿大國會權力嘅核心。加拿大君主嘅權力只係象徵式,Image,f,
24,1,個名點嚟,法屬加拿大即係話沿住條聖羅倫斯河同埋大湖嘅北岸。後尾又分開咗做兩個地方，一個係英國嘅，叫上加拿大,Image,f,
25,18,自由主義,喺政治同社會生活方面，佢主張通過法律賦予嘅權利系統令個人自由最大化,Image,f,
26,1,新世紀百科全書》寫,開門見山咁指出：「自由主義一詞係喺以各種不同嘅含義使用著，而呢啲含義，除咗描述它對新觀念嘅開放性之外，幾乎冇任何相似之處。喺呢啲新觀念裏面，包含住一啲同自由主義喺19世紀同埋20世紀初所表示嘅本來含義截然相反嘅嘢」。說明「自由主義」,Image,f,
27,18,最重要嘅係,並由此逐漸形成咗同英美自由主義相區別嘅歐陸自由主義,Image,f,
28,1,喺洛克之前,各種自由主義流派同埋自由主義嘅不同解釋,Image,f,
29,18,民族主義,民族主義，又叫國族主義或國家主義，係包含民族,Image,f,
30,1,可能會有附加嘅條款,以作為形塑特定文化與政治主張嘅理念基礎,Image,f,
31,18,寶貝歷險記,La carica dei 101 in cinese,Image,f,
32,1,英文片名無變,本片電影原聲帶已經由滾石喺台灣發行，目前喺中國大陸冇任何影音產品發行,Image,f,
33,18,"Juve-Napoli, che bufera!","Il procuratore federale Palazzi ha deferito Antonio Conte, Aurelio De Laurentiis e i due club",Image,f,
34,1,"Maggio: «Cara Juve, siam cresciuti»","L'esterno del Napoli: «Loro hanno qualcosina in più come qualità di giocatori, noi come qualità tattica»",Image,f,
35,18,Italia Balotelli Osvaldo o Giovinco,"Prandelli prova prima Giovinco e poi Osvaldo come spalla di SuperMario, con Montolivo alle spalle delle punte, per chiudere con un 4-3-3 senza il milanista ma con tutte e tre le punte",Image,f,
36,1,Candreva: Una super Lazio,"Il centrocampista, tornato in Nazionale dopo tre anni:",Image,f,
37,18,Hernanes: «Vogliamo fare un salto,Il centrocampista della Lazio: «Il frutto di questo match è stato un buon risultato per affrontare la sosta con tranquillità»,Image,f,
38,1,"Stipendi, Agnelli batte Lotito","Consiglieri di amministrazione della Lazio senza paga. Nei bianconeri 1,65 milioni a Marotta e 200 mila euro a Nedved",Image,f,
39,18,Milan-Inter: c'è Valeri.,Ecco le designazioni per le sfide della settima di Serie A: per Inter-Milan scelto Valeri. Pescara-Lazio a De Marco mentre Roma-Atalanta è stata affidata a Banti,Image,f,
40,1,mazzoleni ha alzato la coppa!,"c'è tanta gente che ruba senza pagare, almeno voi in questo siete da esempio: a fine mese saldate sempre e comunque il conto e va detto che tutto ciò vi fa onore!! Ecco lo stile juve!! Lo sport e non solo prenda esempio da voi!!",Image,f,
41,18,Due turni a Gastaldello,Il giudice sportivo ha squalificato per due giornate Daniele Gastaldello (Sampdoria) che era stata espulso durante la partita con il Napoli. Guastaldello era stato espulso dopo essere stato ammonito per comportamento scorretto nei confronti di u,Image,t,2013-03-18 14:01:18.851006
42,1,Risultato Juve-Roma,Come finirà la sfida dello Juventus Stadium? Quale sarà il punteggio finale? Chi segnerà? Ditecelo con un semplice commento!,Image,t,2013-03-18 14:01:17.851006
43,18,Cagliari-Pescara aperta al pubblico,Via libera ufficiale della Commissione provinciale di vigilanza per l'apertura al pubblico dello stadio Is Arenas di Quartu. Domenica gli abbonati del club sardo potranno assistere alla sfida di Serie A,Image,t,2013-03-18 14:01:16.851006
44,1,Zeman? Niente appello ai tifosi,L'esterno del Barcellona ricorderà a lungo martedì 9 ottobre: esattamente dopo 223 giorni ha toccato un...,Image,t,2013-03-18 14:01:15.851006
45,18,"Messi e Ronaldo, marziani al Camp","Hanno realizzato una doppietta a testa in quella che in questo momento è forse la più bella, spettacolare e avvincente partita che il mondo del calcio",Image,t,2013-03-18 14:01:14.851006
46,1,Aguero e la perdita dell'innocenza,L'attaccante del City attacca gli arbitri: «Hanno un occhio di riguardo per i giocatori inglesi»,Image,t,2013-03-18 14:01:13.851006
47,18,"Zamparini, l'ultimo teatro","Il presidente del Palermo possiede tanta immaginazione, e sembra che aumenti proporzionalmente al numero di sconfitte che la sua squadra incamera",Image,t,2013-03-18 14:01:12.851006
48,1,Ronaldo parteciperà ad un reality,"Colui che per tutti era il Fenomeno è comparso in un programma di Rede Globo, la più grande e potente emittente del Paese e ha cominciato una dieta pubblica. Periodicamente ricomparirà in video per le misurazioni del caso",Image,t,2013-03-18 14:01:11.851006
49,18,Il momento in cui i talenti cadono,"Narciso si innamorò della sua immagine riflessa e prendendo atto dell'impossibilità del rapporto amoroso, si lasciò morire, perché mai le stesse pulsioni dovrebbero essere assenti in chi sa bene di essere, nel suo campo, il migliore?",Image,t,2013-03-18 14:01:10.851006
50,1,Sheva ora è un traditore venduto,L'ex attacccante del Milan ha fondato un movimento: ma i tifosi che lo adoravano ora lo accusano di amoreggiare con il partito al potere,Image,t,2013-03-18 14:01:09.851006
51,18,年改編做真人戲,成為澳大利亞聯邦。自此澳洲一直喺英聯邦之內，以英國王室為國家元首,Image,t,2013-03-18 14:01:08.851006
52,1,澳洲,Australia in cinese,Audio,f,
53,18,澳大利亞被劃分為六個省,中途島（美） - 強斯頓環礁（美） - 鳳凰群島北部嘅豪蘭島同貝克島（美）,Audio,t,2013-03-18 14:01:07.851006
54,1,可可斯,維基百科，未有呢版。要開新版,Audio,t,2013-03-18 14:01:06.851006
55,18,喺下面大格寫,你重未簽到。你修改之後，呢版嘅修改紀綠，會記住你互聯網址,Audio,t,2013-03-18 14:01:05.851006
56,1,純粹想試下編輯功,要開新版，喺下面大格寫。寫咗之後，預覧完先至記低,Audio,t,2013-03-18 14:01:04.851006
57,18,六個省,喺討論頁上簽名係套維基百科簽名嘅說明、指引,Audio,t,2013-03-18 14:01:03.851006
58,1,翻譯請求,你想佢變做廣府話之後叫做咩名,Audio,f,
59,18,你翻譯,若果你覺得你自己搞得掂,Audio,t,2013-03-18 14:01:02.851006
60,1,維基百科你唔知嘅十件事,如果你等緊維基百科，畀隔籬嘅網絡巨人收購，你就唔使等喇。維基百科，並非商業網站,Audio,t,2013-03-18 14:01:01.851006
61,18,我哋冇要求你信我哋,我哋冇要求你信我哋我哋冇要求你信我哋,Audio,t,2013-03-18 14:01:00.851006
62,1,基百科,基百科基百科基百科基百科基百科 基百科基百科,Audio,t,2013-03-18 14:00:59.851006
63,18,維基百,我哋真係想喺內容方面做到盡善盡美,Audio,t,2013-03-18 14:00:58.851006
64,1,維基百維基百,佢嘅內容永遠都唔變佢嘅內容永遠都唔變,Audio,f,
65,18,睇埋,貢獻者亦都係唔收錢嘅志願者貢獻者亦都係唔收錢嘅志願者,Audio,t,2013-03-18 14:00:57.851006
66,1,我哋唔單只講粵語,你嘅編輯同論點都會根據佢本身優劣受到評判,Audio,t,2013-03-18 14:00:56.851006
67,18,個,個個個 未有呢版,Audio,t,2013-03-18 14:00:55.851006
68,1,自我檢,百科，畀隔籬百科，畀隔籬,Audio,t,2013-03-18 14:00:54.851006
69,18,基百基百,自我檢自我檢自我檢自我檢,Audio,t,2013-03-18 14:00:53.851006
70,1,譯譯,喺討論頁上簽名係套維基百科簽名嘅說明喺討論頁上簽名係套維基百科簽名嘅說明,Audio,t,2013-03-18 14:00:52.851006
