id,lesson_id,title,text,position,kind
112,9,Travelling,"<p>He has traveled in over 100 countries for his photographic projects. Most of these, besides appearing in numerous press publications, have also been presented in books such as&nbsp;<em>Other Americas</em>&nbsp;(1986),&nbsp;<em>Sahel: l&rsquo;homme en d&eacute;tresse</em>&nbsp;(1986),&nbsp;<em>Sahel: el fin del camino</em>&nbsp;(1988),&nbsp;<em>Workers</em>(1993),&nbsp;<em>Terra</em>&nbsp;(1997),&nbsp;<em>Migrations</em>&nbsp;and&nbsp;<em>Portraits</em>&nbsp;(2000), and&nbsp;<em>Africa</em>&nbsp;(2007). Touring exhibitions of this work have been, and continue to be, presented throughout the world. Longtime gallery director&nbsp;Hal Gould&nbsp;considers Salgado to be the most important photographer of the early 21st century, and gave him his first show in the United States.</p>
<p>Salgado has been awarded numerous major photographic prizes in recognition of his accomplishments. He is a&nbsp;UNICEF Goodwill Ambassador, and an honorary member of the&nbsp;Academy of Arts and Sciences&nbsp;in the United States. He was awarded The&nbsp;Royal Photographic Society's Centenary Medal and Honorary Fellowship (HonFRPS) in recognition of a sustained, significant contribution to the art of photography in 1993.<sup id=""cite_ref-1"" class=""reference"">[1]</sup></p>
<p>Together, L&eacute;lia and Sebasti&atilde;o have worked since the 1990s on the restoration of a small part of the Atlantic Forest in Brazil. In 1998 they succeeded in turning this land into a nature reserve and created the&nbsp;Instituto Terra. The Instituto is dedicated to a mission of reforestation, conservation and environmental education.</p>
<p>In 2004, Sebasti&atilde;o Salgado began a project named ""Genesis,"" aiming at the presentation of the unblemished faces of nature and humanity. It consists of a series of photographs of landscapes and wildlife, as well as of human communities that continue to live in accordance with their ancestral traditions and cultures. This body of work is conceived as a potential path to humanity&rsquo;s rediscovery of itself in nature.</p>
<p>Salgado works on long term, self-assigned projects many of which have been published as books:&nbsp;<em>The Other Americas</em>,&nbsp;<em>Sahel</em>,&nbsp;<em>Workers</em>, and&nbsp;<em>Migrations</em>. The later two are mammoth collections with hundreds of images each from all around the world. His most famous pictures are of a&nbsp;gold mine&nbsp;in Brazil called&nbsp;Serra Pelada. He is presently working on a project called&nbsp;<em>Genesis</em>, photographing the landscape, flora and fauna of places on earth that have not been taken over by man.</p>
<p>In September and October 2007, Salgado displayed his photographs of&nbsp;coffee&nbsp;workers from India, Guatemala, Ethiopia and Brazil at the Brazilian Embassy in London. The aim of the project was to raise public awareness of the origins of the popular drink.</p>",14,text
113,11,Maths,,1,cover
114,12,Josef Koudelka,,1,cover
115,12,Biography,"<p>Josef Koudelka was born in 1938 in&nbsp;Boskovice,&nbsp;Moravia. He began photographing his family and the surroundings with a 6 x 6&nbsp;Bakelite&nbsp;camera. He studied at the&nbsp;Czech Technical University in Prague&nbsp;(CVUT) between 1956 and 1961, receiving a Degree in Engineering in 1961. He staged his first photographic exhibition the same year. Later he worked as an aeronautical engineer in&nbsp;Prague&nbsp;and&nbsp;Bratislava.</p>
<p>He began taking commissions from theatre magazines, and regularly photographed stage productions at Prague's Theatre Behind the Gate on aRolleiflex&nbsp;camera. In 1967, Koudelka decided to give up his career in engineering for full-time work as a photographer.</p>
<p>He had returned from a project photographing&nbsp;gypsies&nbsp;in&nbsp;Romania&nbsp;just two days before the Soviet invasion, in August 1968. He witnessed and recorded the military forces of the&nbsp;Warsaw Pact&nbsp;as they invaded Prague and crushed the Czech reforms. Koudelka's negatives were smuggled out of Prague into the hands of the&nbsp;Magnum&nbsp;agency, and published anonymously in&nbsp;<em>The Sunday Times</em>&nbsp;Magazine under the initials P. P. (Prague Photographer) for fear of reprisal to him and his family.</p>
<p><span>His pictures of the events became dramatic international symbols. In 1969 the ""anonymous Czech photographer"" was awarded the&nbsp;</span>Overseas Press Club<span>'s&nbsp;</span>Robert Capa Gold Medal<span>&nbsp;for photographs requiring exceptional courage.</span></p>",2,image1
119,12,...,"<p>With Magnum to recommend him to the British authorities, Koudelka applied for a three-month working visa and fled to&nbsp;England&nbsp;in 1970, where he applied for&nbsp;political asylum&nbsp;and stayed for more than a decade. In 1971 he joined&nbsp;Magnum Photos. A nomad at heart, he continued to wander around Europe with his camera and little else.</p>
<p>Throughout the 1970s and 1980s, Koudelka sustained his work through numerous grants and awards, and continued to exhibit and publish major projects like&nbsp;<em>Gypsies</em>&nbsp;(1975) and&nbsp;<em>Exiles</em>&nbsp;(1988). Since 1986, he has worked with a panoramic camera and issued a compilation of these photographs in his book&nbsp;<em>Chaos</em>&nbsp;in 1999. Koudelka has had more than a dozen books of his work published, including most recently in 2006 the retrospective volume&nbsp;<em>Koudelka</em>.</p>
<p>Koudelka has won awards such as the&nbsp;Prix Nadar&nbsp;(1978), a&nbsp;Grand Prix National de la Photographie&nbsp;(1989), a&nbsp;Grand Prix Cartier-Bresson&nbsp;(1991), and the&nbsp;Hasselblad Foundation International Award in Photography&nbsp;(1992). Significant exhibitions of his work have been held at the&nbsp;Museum of Modern Art&nbsp;and the&nbsp;International Center of Photography, New York; the&nbsp;Hayward Gallery, London; theStedelijk Museum of Modern Art, Amsterdam; and the&nbsp;Palais de Tokyo, Paris.</p>
<p>He and his work received support and acknowledgment from his friend the French photographer,&nbsp;Henri Cartier-Bresson. He was also supported by the Czech&nbsp;art historian&nbsp;Anna Farova.<sup id=""cite_ref-rp_1-0"" class=""reference"">[1]</sup></p>
<p>In 1987 Koudelka became a French citizen, and was able to return to Czechoslovakia for the first time in 1991. He then produced&nbsp;<em>Black Triangle</em>, documenting his country's wasted landscape.</p>
<p>Koudelka resides in France and Prague and is continuing his work documenting the European landscape. He has two daughters and a son.</p>",3,text
120,12,,,8,image3
121,12,,,9,image3
122,12,,,10,image3
123,12,,,11,image3
127,11,,,2,video2
128,11,,,3,image3
129,11,Etymology,"<p>The word mathematics comes from the Greek &mu;ά&theta;&eta;&mu;&alpha; (m&aacute;thēma), which, in the ancient Greek language, means ""what one learns"", ""what one gets to know"", hence also ""study"" and ""science"", and in modern Greek just ""lesson"". The word m&aacute;thēma is derived from &mu;&alpha;&nu;&theta;ά&nu;&omega; (manthano), while the modern Greek equivalent is &mu;&alpha;&theta;&alpha;ί&nu;&omega; (mathaino), both of which mean ""to learn"". In Greece, the word for ""mathematics"" came to have the narrower and more technical meaning ""mathematical study"", even in Classical times.[18] Its adjective is &mu;&alpha;&theta;&eta;&mu;&alpha;&tau;&iota;&kappa;ό&sigmaf; (mathēmatik&oacute;s), meaning ""related to learning"" or ""studious"", which likewise further came to mean ""mathematical"". In particular, &mu;&alpha;&theta;&eta;&mu;&alpha;&tau;&iota;&kappa;ὴ &tau;έ&chi;&nu;&eta; (mathēmatikḗ t&eacute;khnē), Latin: ars mathematica, meant ""the mathematical art"".</p>
<p><br />In Latin, and in English until around 1700, the term mathematics more commonly meant ""astrology"" (or sometimes ""astronomy"") rather than ""mathematics""; the meaning gradually changed to its present one from about 1500 to 1800. This has resulted in several mistranslations: a particularly notorious one is Saint Augustine's warning that Christians should beware of mathematici meaning astrologers, which is sometimes mistranslated as a condemnation of mathematicians.</p>
<p><br />The apparent plural form in English, like the French plural form les math&eacute;matiques (and the less commonly used singular derivative la math&eacute;matique), goes back to the Latin neuter plural mathematica (Cicero), based on the Greek plural &tau;&alpha; &mu;&alpha;&theta;&eta;&mu;&alpha;&tau;&iota;&kappa;ά (ta mathēmatik&aacute;), used by Aristotle (384&ndash;322 BC), and meaning roughly ""all things mathematical""; although it is plausible that English borrowed only the adjective mathematic(al) and formed the noun mathematics anew, after the pattern of physics and metaphysics, which were inherited from the Greek.</p>
<p>In English, the noun mathematics takes singular verb forms. It is often shortened to maths or, in English-speaking North America, math.</p>",4,text
130,12,,,7,image3
131,12,,,12,image4
133,12,,,13,image3
134,11,Pitagora,"<p>Pythagoras of Samos (Ancient Greek: &Pi;&upsilon;&theta;&alpha;&gamma;ό&rho;&alpha;&sigmaf; ὁ &Sigma;ά&mu;&iota;&omicron;&sigmaf; [&Pi;&upsilon;&theta;&alpha;&gamma;ό&rho;&eta;&sigmaf; in Ionian Greek] Pythag&oacute;ras ho S&aacute;mios ""Pythagoras the Samian"", or simply &Pi;&upsilon;&theta;&alpha;&gamma;ό&rho;&alpha;&sigmaf;; b. about 570 &ndash; d. about 495 BC) was an Ionian Greek philosopher, mathematician, and founder of the religious movement called Pythagoreanism. Most of the information about Pythagoras was written down centuries after he lived, so very little reliable information is known about him.</p>
<p>He was born on the island of Samos, and might have travelled widely in his youth, visiting Egypt and other places seeking knowledge. Around 530 BC, he moved to Croton, a Greek colony in southern Italy, and there set up a religious sect. His followers pursued the religious rites and practices developed by Pythagoras, and studied his philosophical theories. The society took an active role in the politics of Croton, but this eventually led to their downfall. The Pythagorean meeting-places were burned, and Pythagoras was forced to flee the city. He is said to have ended his days in Metapontum.</p>
<p><br />Pythagoras made influential contributions to philosophy and religious teaching in the late 6th century BC. He is often revered as a great mathematician, mystic and scientist, but he is best known for the Pythagorean theorem which bears his name.</p>",5,image1
136,12,,,14,image3
137,12,,,15,image3
138,12,,,16,image3
139,12,,,18,image3
140,12,,,17,image4
141,12,,,4,image3
142,12,,,6,image3
144,12,,,19,image3
145,12,,,5,image3
146,12,External links,"<p><em><a class=""external text"" href=""http://lejournaldelaphotographie.com/entries/7260/josef-koudelka-s-latest-book-lime"" rel=""nofollow"">2012 Josef Koudelka latest book&nbsp;: Lime</a></em>&nbsp;on the Website Le Journal de la Photographie</p>
<p><br /><em><a class=""external text"" href=""http://www.magnumphotos.com/Archive/C.aspx?VP=XSpecific_MAG.PhotographerDetail_VPage&amp;l1=0&amp;pid=2K7O3R135R3G&amp;nm=Josef%20Koudelka"" rel=""nofollow"">Josef Koudelka at Magnum Photos</a></em></p>
<p><br /><em><a class=""external text"" href=""http://www.masters-of-photography.com/K/koudelka/koudelka.html"" rel=""nofollow"">Josef Koudelka at Masters of Photography</a></em></p>
<p><br /><em><a class=""external text"" href=""http://www.horvatland.com/pages/entrevues/05-koudelka-en_en.htm"" rel=""nofollow"">Entre Vues&nbsp;: Frank Horvat &ndash; Joseph Koudelka</a></em>, interviews with Frank Horvat</p>
<p><br /><em><a class=""external text"" href=""http://www.masters-of-photography.com/K/koudelka/koudelka_articles2.html"" rel=""nofollow"">On Exile</a></em>, by&nbsp;<a title=""Czesław Miłosz"" href=""http://en.wikipedia.org/wiki/Czes%C5%82aw_Mi%C5%82osz"">Czesław Miłosz</a>, introductory text from&nbsp;<em>Exiles</em>&nbsp;(1988)]</p>
<p><br /><em><a class=""external text"" href=""http://query.nytimes.com/gst/fullpage.html?res=9F0CE7D61539F93AA35756C0A965958260&amp;sec=&amp;pagewanted=all"" rel=""nofollow"">Photography View: Josef Koudelka's Melancholy Visions of Gypsy Life</a></em>&nbsp;New York Times</p>
<p><br /><em><a class=""external text"" href=""http://www.radio.cz/en/article/36309"" rel=""nofollow"">A look at the Josef Koudelka retrospective</a></em>&nbsp;at the National Gallery's Trades Fair Palace in Prague, 2003</p>
<p><br /><em><a class=""external text"" href=""http://download.repubblica.it/pdf/domenica/2008/27042008.pdf"" rel=""nofollow"">Praga '68 &ndash; la Primavera di Koudelka</a></em>, La Domenica di Repubblica, article and interview about photographs of the Soviet invasion of Prague</p>
<p><br /><em><a class=""external text"" href=""http://www.timesonline.co.uk/tol/news/world/europe/article3886309.ece"" rel=""nofollow"">1968: Josef Koudelka and 1968, summer of hate</a></em>, interview in The Sunday Times</p>",21,text
147,12,Awards,"<p><strong>2004</strong>&nbsp;- Cornell Capa Infinity Award,&nbsp;International Center of Photography, US</p>
<p><strong>1998</strong>&nbsp;- The&nbsp;Royal Photographic Society's Centenary Medal and Honorary Fellowship (HonFRPS) in recognition of a sustained, significant contribution to the art of photography in 1998.</p>
<p><strong>1992</strong>&nbsp;- Erna and Victor Hasselblad Foundation Photography Prize, Sweden</p>
<p><strong>1991</strong>&nbsp;- Grand Prix Henri Cartier-Bresson, France</p>
<p><strong>1987</strong>&nbsp;- Grand Prix National de la Photographie,&nbsp;French Ministry of Culture, France</p>
<p><strong>1980</strong>&nbsp;-&nbsp;National Endowment for the Arts&nbsp;Council, US</p>
<p><strong>1978</strong>&nbsp;- Prix Nadar, France</p>
<p><strong>1976</strong>&nbsp;-&nbsp;British Arts Council&nbsp;Grant to cover life in the British Isles, UK</p>
<p><strong>1973</strong>&nbsp;- British Arts Council Grant to cover Gypsy life in Britain, UK</p>
<p><strong>1972</strong>&nbsp;- British Arts Council Grant to cover Kendal and Southend, UK</p>
<p><strong>1969</strong>&nbsp;- Robert Capa Gold Medal Award,&nbsp;National Press Photographers Association, US</p>
<p><strong>1967</strong>&nbsp;- Award by Union of Czechoslovakian Artists, Czechoslovakia</p>",20,text
154,14,Chinese,,1,cover
155,15,Chinese,,1,cover
156,16,Chinese,,1,cover
157,16,,,2,video1
158,17,Chinese,,1,cover
159,17,,,2,image3
162,19,Lezione 1,,1,cover
163,19,,,2,image2
164,20,Lezione di prova,,1,cover
165,20,Slide 1,"<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">&nbsp;</p>
<p style=""text-align: left;""><span style=""color: #ff0000;""><strong>Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</strong></span></p>",2,image1
166,20,,,3,image3
167,20,,,4,video2
168,20,,,5,image4
169,20,,,6,image2
170,20,djhdjfhdjfhjd,"<p>ddjfkdjfkdj</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>",7,video1
171,20,,"<p>dddefhdj</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>",8,audio
172,20,wwdwdwdwde,"<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>
<p class=""p1"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis&nbsp;</p>",9,text
173,21,weref,,1,cover
174,22,J.M.Basquiat-Plush safe he think..,,1,cover
175,22,Jean-Michel Basquiat,"<p>Jean-Michel Basquiat, born in Brooklyn, New York after the death of his brother Max, was the second of four children of Matilda Andrades (July 28, 1934 &ndash; November 17, 2008) and Gerard Basquiat (born 1930). He had two younger sisters: Lisane, born in 1964, and Jeanine, born in 1967.</p>
<p>His father, Gerard Basquiat, was born in Port-au-Prince, Haiti, and his mother, Matilde Basquiat, was of Puerto Rican descent, born in Brooklyn, New York.</p>
<p>Basquiat was a precocious child who learned how to read and write by age four and was a gifted artist.[7] His teachers noticed his artistic abilities, and his mother encouraged her son's artistic talent. By the age of eleven, Basquiat could fluently speak, read, and write French, Spanish, and English.</p>",2,image1
176,22,,,3,image3
177,22,SAMO IS DEAD,"<p>In September 1968, when Basquiat was about eight, he was hit by a car while playing in the street. His arm was broken and he suffered several internal injuries, and eventually underwent a splenectomy.</p>
<p>His parents separated that year and he and his sisters were raised by their father.</p>
<p>The family resided in Boerum Hill, Brooklyn, for five years, then moved to San Juan, Puerto Rico in 1974. After two years, they returned to New York City.[10] Then when he was eleven years old, his mother was committed to a mental institution and thereafter spent time in and out of institutions. At 15, Basquiat ran away from home.</p>
<p>He slept on park benches in Washington Square Park, and was arrested and returned to the care of his father within a week.</p>
<p>Basquiat dropped out of Edward R. Murrow High School in the tenth grade. His father banished him from the household and Basquiat stayed with friends in Brooklyn. He supported himself by selling T-shirts and homemade post cards. He also worked at the Unique Clothing Warehouse in West Broadway, Manhattan.</p>",4,image1
178,22,,,5,image2
179,22,,,6,image2
180,22,Final years and death,"<p><span class=""size2"">By 1986, Basquiat had left the Annina Nosei gallery, and was showing in the famous Mary Boone gallery in SoHo. On February 10, 1985, he appeared on the cover of The New York Times Magazine in a feature entitled ""New Art, New Money: The Marketing of an American Artist"".</span></p>
<p><span class=""size2"">He was a successful artist in this period, but his growing heroin addiction began to interfere with his personal relationships.</span><br /><span class=""size2"">When Andy Warhol died on February 22, 1987, Basquiat became increasingly isolated, and his heroin addiction and depression grew more severe.</span></p>
<p><span class=""size2"">Despite an attempt at sobriety during a trip to Maui, Hawaii, Basquiat died on August 12, 1988, of a heroin overdose at his art studio in Great Jones Street in New York City's NoHo neighborhood. He was 27.</span></p>
<p><span class=""size2"">Basquiat was interred in Brooklyn's Green-Wood Cemetery.</span></p>",7,text
181,22,,"<p><span class=""size4"" style=""color: #ff00ff;"">Mi piacerebbe averlo ....</span></p>
<p><span class=""size4"" style=""color: #ff00ff;""> se Walter me lo regalasse!!</span></p>",8,image1
182,23,Visive arts,,1,cover
183,23,The life is color,,2,image1
